state_code,county_code,site_number,parameter_code,poc,latitude,longitude,datum,parameter,sample_duration_code,sample_duration,pollutant_standard,date_local,units_of_measure,event_type,observation_count,observation_percent,validity_indicator,arithmetic_mean,first_max_value,first_max_hour,aqi,method_code,method,local_site_name,site_address,state,county,city,cbsa_code,cbsa,date_of_last_change
17,031,0022,81102,4,41.687165,-87.539315,WGS84,PM10 Total 0-10um STP,X,24-HR BLK AVG,PM10 24-hour 2006,2022-08-15,Micrograms/cubic meter (25 C),No Events,1,100,Y,25,25,23,23,122,INSTRUMENT MET ONE 4 MODELS - BETA ATTENUATION,WASHINGTON HS,3535 E. 114TH ST.,Illinois,Cook,Chicago,16980,"Chicago-Naperville-Elgin, IL-IN-WI",2022-10-12
17,031,0022,81102,4,41.687165,-87.539315,WGS84,PM10 Total 0-10um STP,X,24-HR BLK AVG,PM10 24-hour 2006,2022-08-16,Micrograms/cubic meter (25 C),No Events,1,100,Y,24,24,23,22,122,INSTRUMENT MET ONE 4 MODELS - BETA ATTENUATION,WASHINGTON HS,3535 E. 114TH ST.,Illinois,Cook,Chicago,16980,"Chicago-Naperville-Elgin, IL-IN-WI",2022-10-12
17,031,0022,81102,4,41.687165,-87.539315,WGS84,PM10 Total 0-10um STP,X,24-HR BLK AVG,PM10 24-hour 2006,2022-08-17,Micrograms/cubic meter (25 C),No Events,1,100,Y,28,28,23,26,122,INSTRUMENT MET ONE 4 MODELS - BETA ATTENUATION,WASHINGTON HS,3535 E. 114TH ST.,Illinois,Cook,Chicago,16980,"Chicago-Naperville-Elgin, IL-IN-WI",2022-10-12
17,031,0022,81102,4,41.687165,-87.539315,WGS84,PM10 Total 0-10um STP,X,24-HR BLK AVG,PM10 24-hour 2006,2022-08-18,Micrograms/cubic meter (25 C),No Events,1,100,Y,46,46,23,43,122,INSTRUMENT MET ONE 4 MODELS - BETA ATTENUATION,WASHINGTON HS,3535 E. 114TH ST.,Illinois,Cook,Chicago,16980,"Chicago-Naperville-Elgin, IL-IN-WI",2022-10-12
17,031,0022,81102,4,41.687165,-87.539315,WGS84,PM10 Total 0-10um STP,X,24-HR BLK AVG,PM10 24-hour 2006,2022-08-19,Micrograms/cubic meter (25 C),No Events,1,100,Y,40,40,23,37,122,INSTRUMENT MET ONE 4 MODELS - BETA ATTENUATION,WASHINGTON HS,3535 E. 114TH ST.,Illinois,Cook,Chicago,16980,"Chicago-Naperville-Elgin, IL-IN-WI",2022-10-12
17,031,0022,81102,4,41.687165,-87.539315,WGS84,PM10 Total 0-10um STP,X,24-HR BLK AVG,PM10 24-hour 2006,2022-08-20,Micrograms/cubic meter (25 C),No Events,1,100,Y,26,26,23,24,122,INSTRUMENT MET ONE 4 MODELS - BETA ATTENUATION,WASHINGTON HS,3535 E. 114TH ST.,Illinois,Cook,Chicago,16980,"Chicago-Naperville-Elgin, IL-IN-WI",2022-10-12
17,031,0022,81102,4,41.687165,-87.539315,WGS84,PM10 Total 0-10um STP,X,24-HR BLK AVG,PM10 24-hour 2006,2022-08-21,Micrograms/cubic meter (25 C),No Events,1,100,Y,23,23,23,21,122,INSTRUMENT MET ONE 4 MODELS - BETA ATTENUATION,WASHINGTON HS,3535 E. 114TH ST.,Illinois,Cook,Chicago,16980,"Chicago-Naperville-Elgin, IL-IN-WI",2022-10-12
17,031,0022,81102,4,41.687165,-87.539315,WGS84,PM10 Total 0-10um STP,X,24-HR BLK AVG,PM10 24-hour 2006,2022-08-22,Micrograms/cubic meter (25 C),No Events,1,100,Y,24,24,23,22,122,INSTRUMENT MET ONE 4 MODELS - BETA ATTENUATION,WASHINGTON HS,3535 E. 114TH ST.,Illinois,Cook,Chicago,16980,"Chicago-Naperville-Elgin, IL-IN-WI",2022-10-12
17,031,0022,81102,4,41.687165,-87.539315,WGS84,PM10 Total 0-10um STP,X,24-HR BLK AVG,PM10 24-hour 2006,2022-08-23,Micrograms/cubic meter (25 C),No Events,1,100,Y,33,33,23,31,122,INSTRUMENT MET ONE 4 MODELS - BETA ATTENUATION,WASHINGTON HS,3535 E. 114TH ST.,Illinois,Cook,Chicago,16980,"Chicago-Naperville-Elgin, IL-IN-WI",2022-10-12
17,031,0022,81102,4,41.687165,-87.539315,WGS84,PM10 Total 0-10um STP,X,24-HR BLK AVG,PM10 24-hour 2006,2022-08-24,Micrograms/cubic meter (25 C),No Events,1,100,Y,49,49,23,45,122,INSTRUMENT MET ONE 4 MODELS - BETA ATTENUATION,WASHINGTON HS,3535 E. 114TH ST.,Illinois,Cook,Chicago,16980,"Chicago-Naperville-Elgin, IL-IN-WI",2022-10-12
17,031,0022,81102,4,41.687165,-87.539315,WGS84,PM10 Total 0-10um STP,X,24-HR BLK AVG,PM10 24-hour 2006,2022-08-25,Micrograms/cubic meter (25 C),No Events,1,100,Y,43,43,23,40,122,INSTRUMENT MET ONE 4 MODELS - BETA ATTENUATION,WASHINGTON HS,3535 E. 114TH ST.,Illinois,Cook,Chicago,16980,"Chicago-Naperville-Elgin, IL-IN-WI",2022-10-12
17,031,0022,81102,4,41.687165,-87.539315,WGS84,PM10 Total 0-10um STP,X,24-HR BLK AVG,PM10 24-hour 2006,2022-08-26,Micrograms/cubic meter (25 C),No Events,1,100,Y,21,21,23,19,122,INSTRUMENT MET ONE 4 MODELS - BETA ATTENUATION,WASHINGTON HS,3535 E. 114TH ST.,Illinois,Cook,Chicago,16980,"Chicago-Naperville-Elgin, IL-IN-WI",2022-10-12
